id_me,morph,length_cm,weight_g,sex,mat,age,logCsize_dentary,logCsize_maxilla,logCsize_premaxilla,side,replica,bone,tooth_count
PC3934,SB,11.1,14.32,M,5,4,0.1952916,0.2181833,-1.183775094,Right,March,Premaxilla,NA
PC3935,SB,10.4,11.87,M,1/2,4,0.1359213,0.1303157,-1.272472238,Right,March,Premaxilla,5
PC4200,PL,12.3,22.18,M,6,5,0.4072205,0.4566677,-1.185360757,Right,March,Premaxilla,7
PC4201,PL,14,29.18,M,4,5,0.5865523,0.636036,-1.076760449,Right,March,Premaxilla,7
PC4202,PL,13.7,31.74,M,5,5,0.5022135,0.5689762,-1.048678246,Right,March,Premaxilla,8
PC4203,PL,15,38.61,M,7,5,0.6118862,0.7029269,-1.172480586,Right,March,Premaxilla,8
PC4204,PL,13.4,26.01,M,5,5,0.502597,0.5801471,-1.02897568,Right,March,Premaxilla,8
PC4205,PL,13.6,29.49,M,4,4,0.5378583,0.5518292,-1.045443037,Right,March,Premaxilla,NA
PC4206,PL,13.3,25.06,M,6,4,0.4682351,0.4802286,-1.099458193,Right,March,Premaxilla,8
PC4207,PL,13.6,29.32,M,6,4,0.5604644,0.5615581,-1.151141189,Right,March,Premaxilla,7
PC4208,PL,14.7,37.35,M,6,4,0.6601469,0.6539983,-0.971904167,Right,March,Premaxilla,7
PC4209,PL,14,30.39,M,6,NA,0.5430616,0.4873203,-1.109427483,Right,March,Premaxilla,NA
PC4210,PL,17,52.56,M,6,5,0.6710905,0.729533,-0.954332778,Right,March,Premaxilla,6
PC4211,PL,15.6,39.25,M,5,4,0.6388534,0.5924699,-0.952107117,Right,March,Premaxilla,6
PC4212,PL,13.4,25.34,M,5,5,0.5232894,0.5594861,-1.153639724,Right,March,Premaxilla,8
PC4213,PL,14.4,33.98,M,6,4,0.5674114,0.5186075,-1.066685327,Right,March,Premaxilla,7
PC4214,PL,12,20.83,M,6,5,0.4108039,0.4061405,-1.135128076,Right,March,Premaxilla,6
PC4215,PL,17,51.2,M,6,5,0.7897646,0.7808549,-0.75804432,Right,March,Premaxilla,NA
PC4216,PL,16.1,48.79,M,6,4,0.7110148,0.7072824,-0.996963833,Right,March,Premaxilla,7
PC4217,PL,15.2,42.11,M,5,5,0.6974301,0.6077942,-1.050330567,Right,March,Premaxilla,6
PC4218,PL,17.5,61.78,M,6,5,0.7737485,0.7672126,-0.782236348,Right,March,Premaxilla,7
PC4219,SB,10.5,20.71,M,6,4,0.3069576,0.4251876,-1.165345381,Right,March,Premaxilla,6
PC4220,SB,14.2,21.42,M,6,3,0.5186841,0.6014619,-0.881958058,Right,March,Premaxilla,7
PC4235,SB,13.4,24.9,F,7/6?,5,0.4885782,0.5665068,-0.901040978,Right,March,Premaxilla,8
PC4221,SB,20.8,102.75,F,4,6,0.9257083,0.9806895,-0.469517096,Right,March,Premaxilla,8
PC4222,SB,14.1,32.86,M,6,8,0.6275174,0.7337661,-0.763137812,Right,March,Premaxilla,8
PC4223,SB,14.3,31.8,F,7/6?,8,0.4200137,0.4826848,-0.93785689,Right,March,Premaxilla,7
PC4224,SB,14.5,34.05,M,6,5,0.5033714,NA,-0.933411974,Right,March,Premaxilla,8
PC4225,SB,16,44.77,F,6,4,0.5220466,0.5374071,-0.88733921,Right,March,Premaxilla,7
PC4226,SB,11.9,14.48,F,7,5,0.3224365,0.3361367,-1.208561612,Right,March,Premaxilla,7
PC4227,SB,13.6,27.99,M,6,5,0.6111171,0.7040514,-0.891771672,Right,March,Premaxilla,8
PC4228,SB,20.2,103.34,F,7?,6,0.8864013,0.9322941,-0.500105078,Right,March,Premaxilla,8
PC4229,SB,17,71.77,F,5,8,0.5796077,0.7528639,-0.688550829,Right,March,Premaxilla,6
PC4230,SB,14.2,32.22,F,5,6,0.4496137,0.5756849,-0.951374827,Right,March,Premaxilla,7
PC4231,PL,14.3,27.2,M,6,6,0.522149,0.5471228,-1.056528558,Right,March,Premaxilla,7
PC4232,SB,24.2,147.58,F,7,6,0.9793641,1.0602409,-0.374001269,Right,March,Premaxilla,8
PC4233,SB,11,15.55,M,6,12,0.2495745,0.2464628,-1.183579087,Right,March,Premaxilla,8
PC4236,LB,50,1430,F,7,8,1.8553771,1.8825976,0.444520653,Right,March,Premaxilla,10
PC4237,PI,43.2,980,F,7,12,1.7101586,1.7342305,0.165154344,Right,March,Premaxilla,7
PC4238,PI,50,1795,M,6,8,2.1489658,2.1919838,0.693541612,Right,March,Premaxilla,8
PC4239,LB,43.4,995,M,7,8,1.7521052,1.7650706,0.293813626,Right,March,Premaxilla,7
PC4240,PI,41,780,F,7,9,1.6082357,1.6444442,0.070488416,Right,March,Premaxilla,7
PC4241,PI,35.6,490,F,7,12,1.4747506,1.4543679,-0.139703435,Right,March,Premaxilla,7
PC4242,PI,33,425,M,5,9,1.6035308,1.6159891,0.092431063,Right,March,Premaxilla,6
PC4243,PI,36,565,M,6,12,1.6598913,1.6832638,0.330115209,Right,March,Premaxilla,9
PC4244,LB,32,345,M,5,4,1.2869663,1.374872,-0.035360849,Right,March,Premaxilla,7
PC4245,PI,27.2,245,M,5,12,1.370126,1.363855,-0.145408932,Right,March,Premaxilla,7
PC4246,SB,29.7,285,F,7?,5,1.2481107,1.2668626,-0.16362207,Right,March,Premaxilla,8
PC4247,PL,29.9,270,F,7,7,1.2474466,1.2038618,-0.356434064,Right,March,Premaxilla,8
PC4248,PL,26,180,F,7,7,1.0654421,1.0511679,-0.464332787,Right,March,Premaxilla,8
PC4249,PI,47,1150,F,7,11,1.8024257,1.7600206,0.26209821,Right,March,Premaxilla,7
PC4250,PI,45,905,F,7,7,1.7850672,1.7956688,0.252909723,Right,March,Premaxilla,7
PC4251,PI,42.9,945,F,7,8,1.6318368,1.6200988,0.155059335,Right,March,Premaxilla,8
PC4252,PI,32.8,430,M,6,7,1.5061542,1.4275362,-0.104775499,Right,March,Premaxilla,8
PC4253,PI,31,360,F,6,7,1.3045043,1.3084047,-0.249951008,Right,March,Premaxilla,7
PC4254,PI,31.5,340,F,7,10,1.3383702,1.333377,-0.328245706,Right,March,Premaxilla,8
PC4255,PI,34.4,375,F,7,7,1.388602,1.4311301,-0.164883006,Right,March,Premaxilla,8
PC4256,PI,28.9,265,M,6,8,1.3433663,1.3644274,-0.164970132,Right,March,Premaxilla,6
PC4257,PI,29.6,265,M,5,7,1.3304506,1.2718684,-0.265524051,Right,March,Premaxilla,8
PC4258,PI,30,240,F,7,8,1.3405054,1.3159993,-0.375087699,Right,March,Premaxilla,6
PC4259,SB,29.4,265,F,7,5,1.0011376,1.2070753,-0.310234528,Right,March,Premaxilla,8
PC4260,PL,24,160,M,3,6,1.2571031,1.2250592,-0.434284271,Right,March,Premaxilla,8
PC4261,PL,25.8,155,F,7,7,1.1004072,1.0380778,-0.394555862,Right,March,Premaxilla,7
PC4263,PL,26.4,185,F,7,8,1.1320273,1.0768645,-0.449248548,Right,March,Premaxilla,7
PC4264,PL,22,125,M,5,6,1.0651279,1.0597176,-0.596047368,Right,March,Premaxilla,8
PC4266,PL,25,160,F,7,7,1.0146452,1.0378989,-0.462016051,Right,March,Premaxilla,7
PC4267,PL,27.1,200,F,7,11,1.1886984,1.2210298,-0.352815197,Right,March,Premaxilla,7
PC4268,SB,22,98.33,F,2,6,0.9121151,0.9926104,-0.420291765,Right,March,Premaxilla,8
PC4269,SB,22.5,113.25,M,6,8,0.9306836,1.061864,-0.425912222,Right,March,Premaxilla,7
PC4270,SB,21.9,111.02,F,7,7,0.9466703,1.0348432,-0.390184206,Right,March,Premaxilla,9
PC4271,SB,20.2,82.76,F,2,5,0.772023,0.8076641,-0.610868916,Right,March,Premaxilla,7
PC4272,SB,19.6,78.88,F,2,6,0.8082435,0.8258154,-0.681931392,Right,March,Premaxilla,7
PC4273,SB,20.6,100.88,F,7,6,0.799517,0.9025003,-0.551536356,Right,March,Premaxilla,7
PC4274,SB,19,77.67,F,7,6,0.8459988,0.8481039,-0.677543155,Right,March,Premaxilla,6
PC4275,SB,18.6,70.99,F,2,8,0.7422235,0.7715224,-0.668638557,Right,March,Premaxilla,7
PC4276,SB,17.8,73.1,F,7,5,0.6765509,0.8058694,-0.657055034,Right,March,Premaxilla,8
PC4277,SB,18.9,78.02,F,2,7,0.6007126,0.7546978,-0.615955454,Right,March,Premaxilla,7
PC4278,SB,19.1,84.33,F,7,6,0.8312094,0.8445676,-0.652437868,Right,March,Premaxilla,8
PC4279,SB,20.5,82.97,M,7,11,0.9988387,1.0346174,-0.391683145,Right,March,Premaxilla,6
PC4280,SB,19,75.13,M,6,7,0.853603,0.940296,-0.528535081,Right,March,Premaxilla,7
PC4281,SB,13,19,F,7,6,0.4338218,0.4480576,-1.215923413,Right,March,Premaxilla,7
PC4282,SB,20,80.29,M,5,6,0.86067,0.9196667,-0.559821208,Right,March,Premaxilla,8
PC4283,SB,16,44.21,F,7,6,0.6100674,0.6401857,-0.843124792,Right,March,Premaxilla,7
PC4284,SB,18.5,75.44,F,7,5,0.7596681,0.7976486,-0.687593107,Right,March,Premaxilla,8
PC4285,SB,17.5,67.88,F,7,10,0.7036057,0.7524852,-0.737968344,Right,March,Premaxilla,7
PC4286,SB,15.9,43.82,NA,NA,4,0.5571748,0.5874797,-0.852881234,Right,March,Premaxilla,7
PC4287,SB,14,28.88,F,7,4,0.439141,0.5374793,-0.955612453,Right,March,Premaxilla,8
PC4288,SB,11.8,23.27,F,7,4,0.2906554,0.388501,-1.071763696,Right,March,Premaxilla,NA
PC4290,SB,13,21.38,F,7,NA,0.3887905,0.3818622,-1.033876479,Right,March,Premaxilla,7
PC4291,SB,12.5,16.71,M,3,4,0.3980498,0.5413425,-0.9620295,Right,March,Premaxilla,7
PC4292,SB,10.6,12.42,F,7,6,0.2105322,0.2674388,-1.236524594,Right,March,Premaxilla,7
PC4293,SB,12.4,17.9,M,6,6,0.503779,0.5206079,-0.988972865,Right,March,Premaxilla,8
PC4294,SB,12.1,18.33,M,7,6,0.538666,0.5377838,-0.94952094,Right,March,Premaxilla,8
PC4295,SB,12.9,26.57,M,7,4,0.3682033,0.510491,-0.982077135,Right,March,Premaxilla,8
PC4296,SB,13.5,24.9,NA,NA,4,0.544503,0.5601062,-0.965486212,Right,March,Premaxilla,NA
PC4297,SB,11.1,14.46,F,7,4,0.2004732,0.230068,-1.24151212,Right,March,Premaxilla,7
PC4298,SB,10.9,15.75,F,7,5,0.2201126,0.2927665,-1.196899994,Right,March,Premaxilla,8
PC4299,SB,11.5,15.88,M,7,4,0.3218048,0.3786319,-1.065388755,Right,March,Premaxilla,7
PC4300,SB,10.9,13.76,M,7,3,0.3131071,0.3919797,-1.099569273,Right,March,Premaxilla,7
PC4301,PI,25,181.84,M,6,8,1.1934617,1.2328154,-0.343810919,Right,March,Premaxilla,7
PC4302,PI,24.9,161.8,M,6,7,1.1811798,1.1125161,-0.388412544,Right,March,Premaxilla,6
PC4303,PI,23.7,141.58,M,6,NA,1.1246548,1.1227614,-0.475286926,Right,March,Premaxilla,7
PC4305,LB,37.1,543.07,M,7,6,1.4040684,1.4812446,-0.014852925,Right,March,Premaxilla,5
PC4306,LB,34.2,550,M,7,6,1.2593819,1.3140327,-0.194486785,Right,March,Premaxilla,5
PC4307,LB,50,1000,M,7,8,1.7519391,1.8277277,0.319980095,Right,March,Premaxilla,6
PC4308,LB,50.1,1195,M,6,9,1.7605989,1.8687329,0.384537161,Right,March,Premaxilla,8
PC4309,LB,52.1,1420,M,7,15,1.9546536,1.987697,0.637130595,Right,March,Premaxilla,7
PC4310,LB,38.8,610,M,7,9,1.5343947,1.627293,0.042469279,Right,March,Premaxilla,7
PC4311,LB,44,995,F,7,9,1.5482042,1.6431327,0.133767174,Right,March,Premaxilla,8
PC4312,LB,42.6,1080,F,7,8,1.5017325,1.568459,0.024333405,Right,March,Premaxilla,8
PC4313,LB,38.2,700,M,7,5,1.5226103,1.595413,0.055982206,Right,March,Premaxilla,8
PC4314,LB,45.1,1135,M,7,13,1.7670563,1.6724955,0.259416495,Right,March,Premaxilla,7
PC4315,LB,49,1565,M,7,11,1.8284066,1.9344247,0.408054538,Right,March,Premaxilla,7
PC4316,LB,49.8,1370,M,7,12,2.0418131,1.9711637,0.561065627,Right,March,Premaxilla,8
PC4317,LB,43.8,1030,F,7,6,1.4157388,1.6160668,0.071886114,Right,March,Premaxilla,8
PC4318,LB,36.3,545,M,7,8,1.4133064,1.5068619,0.056541169,Right,March,Premaxilla,8
PC4319,LB,47.4,1085,F,7,8,1.6055533,1.6879065,0.289266956,Right,March,Premaxilla,8
PC4320,LB,32.9,385,M,7,6,1.2718351,1.3119226,-0.089353729,Right,March,Premaxilla,6
PC4321,LB,30.8,320,M,7,7,1.2610109,1.3107995,-0.203162239,Right,March,Premaxilla,7
PC4322,LB,41.4,980,M,7,8,1.5666674,1.6615154,0.108028004,Right,March,Premaxilla,7
PC4323,LB,41.7,920,F,7,8,1.4117025,1.5235916,-0.022046351,Right,March,Premaxilla,8
PC4324,LB,44,1040,M,7,9,1.7035511,1.7371992,0.235104336,Right,March,Premaxilla,6
PC4325,LB,34,400,M,7,8,1.4340854,1.5379994,-0.031540347,Right,March,Premaxilla,6
PC4326,LB,39.9,780,M,7,8,1.5223078,1.6107263,-0.059815089,Right,March,Premaxilla,7
PC4327,LB,53,1935,M,7,9,1.8494556,1.9067253,0.337557181,Right,March,Premaxilla,7
PC4328,LB,41.2,780,M,7,8,1.7443661,1.791991,0.263160882,Right,March,Premaxilla,9
PC4329,LB,35.4,670,M,7,7,1.5026374,1.546863,0.056267205,Right,March,Premaxilla,6
PC4330,LB,41.9,925,M,7,7,1.5451679,1.6367833,0.228754012,Right,March,Premaxilla,8
PC4331,LB,40.8,800,F,7,11,1.507682,1.5876506,0.13764431,Right,March,Premaxilla,8
PC4332,LB,30.3,330,M,7,7,1.1887599,1.2816562,-0.131092114,Right,March,Premaxilla,8
PC4333,LB,43,830,M,7,7,1.6526753,1.6951557,0.263707931,Right,March,Premaxilla,7
PC4334,LB,44,960,F,7,8,1.4394487,1.5919754,0.133180788,Right,March,Premaxilla,7
PC4349,PL,25.2,119.64,F,7,7,0.9854856,0.9769251,-0.620208443,Right,March,Premaxilla,8
PC4350,PL,17.4,38.03,M,7,6,0.5946098,0.5415976,-0.964643694,Right,March,Premaxilla,7
PC4351,PL,19,54.31,M,7,6,0.7490944,0.7631699,-0.873499125,Right,March,Premaxilla,8
PC4352,PL,21.2,76.26,F,7,6,0.8378394,0.8073999,-0.830791282,Right,March,Premaxilla,8
PC4353,PL,17.4,38.43,F,7,6,0.557816,0.622764,-1.032990292,Right,March,Premaxilla,7
PC4354,PL,21.4,77.76,M,7,6,0.8380185,0.8188653,-0.758804054,Right,March,Premaxilla,8
PC4355,PL,18,40.49,M,7,6,0.6712597,0.7022678,-1.042192157,Right,March,Premaxilla,7
PC4356,PL,21.4,74.03,M,7,6,0.8338468,0.8507629,-0.822997859,Right,March,Premaxilla,7
PC4357,PL,21.8,89.24,F,7,7,0.8352438,0.8423585,-0.79397781,Right,March,Premaxilla,7
PC4358,PL,21,70.3,F,7,6,0.8009874,0.7967478,-0.750251308,Right,March,Premaxilla,8
PC4359,PL,22.4,101.1,F,7,7,0.9499243,0.9494218,-0.742600709,Right,March,Premaxilla,8
PC4360,PL,23.2,91.75,F,7,8,0.9165008,0.9113611,-0.639858276,Right,March,Premaxilla,8
PC4361,PL,21.4,80.68,F,7,7,0.865553,0.8588207,-0.720938419,Right,March,Premaxilla,7
PC4362,PL,19.2,58.28,M,7,4,0.7587582,0.7423301,-0.832704544,Right,March,Premaxilla,7
PC4363,PL,18.2,41.6,F,7,6,0.6508501,0.6655296,-0.912761503,Right,March,Premaxilla,8
PC4364,PL,20.4,62.64,F,7,7,0.7989202,0.8018161,-0.864753589,Right,March,Premaxilla,7
PC4365,PL,24,109.96,F,7,8,0.9724292,1.0183329,-0.611012976,Right,March,Premaxilla,8
PC4366,PL,15.8,27.36,M,7,5,0.6262606,0.5192614,-1.045715026,Right,March,Premaxilla,9
PC4367,PL,19.2,57.5,F,7,6,0.6670281,0.7213126,-0.899862316,Right,March,Premaxilla,8
PC4368,PL,20,55.21,F,7,5,0.7577275,0.683579,-1.021555053,Right,March,Premaxilla,9
PC4369,PL,18.2,49.95,F,7,6,0.6478851,0.6556324,-0.948246321,Right,March,Premaxilla,7
PC4370,PL,23.6,102.51,M,7,7,1.0026172,1.0567673,-0.563540392,Right,March,Premaxilla,7
PC4371,LB,50,1340,F,2,NA,1.7896223,1.8572783,0.399423282,Right,March,Premaxilla,7
PC4372,PI,45.4,1030,M,7,12,1.9763047,1.9370398,0.478222269,Right,March,Premaxilla,7
PC4373,LB,37.6,730,F,2,7,1.2732709,1.3370201,-0.143835154,Right,March,Premaxilla,7
PC4374,PI,37.6,500,F,7,9,1.4618751,1.452667,-0.074467004,Right,March,Premaxilla,7
PC4375,LB,52.8,1500,F,2,12,1.7304235,1.7747447,0.308486599,Right,March,Premaxilla,7
PC4376,LB,40.4,765,F,2,8,1.4707434,1.4969956,-0.066295674,Right,March,Premaxilla,NA
PC4377,PI,52.4,1505,M,6,9,1.924652,1.9358185,0.521937486,Right,March,Premaxilla,8
PC4378,PI,41.2,680,M,7,8,1.7331607,1.640413,0.120359249,Right,March,Premaxilla,7
PC4379,LB,46.2,1315,M,1,7,1.5981385,1.7602775,0.278871307,Right,March,Premaxilla,6
PC4380,PI,46,1255,M,1,7,1.815156,1.8254595,0.445024495,Right,March,Premaxilla,7
PC4381,PI,36,525,M,7,7,1.6835569,1.6926995,0.175563437,Right,March,Premaxilla,7
PC4382,PI,44.2,940,M,7,8,1.7543931,1.7479365,0.232318015,Right,March,Premaxilla,7
PC4383,PI,34.6,375,M,7,7,1.4154661,1.4297385,-0.126921994,Right,March,Premaxilla,7
PC4384,PI,43.8,995,F,7,9,1.6728065,1.6748957,0.064648071,Right,March,Premaxilla,8
PC4385,PI,36.4,380,M,7,7,1.5609401,1.5198259,-0.041888106,Right,March,Premaxilla,7
PC4386,PI,36.6,435,M,7,9,1.5295359,1.5871455,-0.007148312,Right,March,Premaxilla,7
PC4387,LB,40.6,750,M,1,7,1.5601724,1.5769722,0.197803413,Right,March,Premaxilla,8
PC4388,LB,38,615,M,2,8,1.4131692,1.4050373,-0.040256165,Right,March,Premaxilla,6
PC4389,PI,42,725,M,7,8,1.7444238,1.8302674,0.354438044,Right,March,Premaxilla,8
PC4390,PI,37.8,485,M,6,8,1.5918797,1.5230084,0.054055366,Right,March,Premaxilla,6
PC4391,PL,23.6,100,F,7,7,0.9067503,0.9004726,-0.703064471,Right,March,Premaxilla,9
PC4392,PI,30.2,235,F,7,8,1.3011933,1.3152082,-0.273251465,Right,March,Premaxilla,7
PC4393,PI,36.7,575,M,7,10,1.621709,1.5627847,0.025048823,Right,March,Premaxilla,8
PC3831,LB,42.5,1061,F,2,8,1.5586187,1.58071,0.13205113,Left,March,Premaxilla,7
PC3834,PL,15.6,37,M,4,5,0.6291754,0.6628085,-1.007234783,Left,March,Premaxilla,6
PC3839,PI,42.8,1131,M,4,9,1.7415688,1.7564629,0.350827091,Left,March,Premaxilla,8
PC3840,LB,37.1,672,M,4,7,1.4828573,1.4378166,0.007383798,Left,March,Premaxilla,7
PC3841,PI,49.5,1714,M,4,9,1.937873,1.9217087,0.584365556,Left,March,Premaxilla,8
PC3842,LB,42,1010,M,4,8,1.8332211,1.8412973,0.400484215,Left,March,Premaxilla,9
PC3843,LB,40.7,815,M,6,9,1.7678126,1.8129056,0.404936718,Left,March,Premaxilla,7
PC3844,LB,34.7,504,M,4,7,1.4081087,1.459648,-0.113099349,Left,March,Premaxilla,5
PC3845,PI,46.9,1455,M,6,11,2.0186447,2.0275085,0.468832295,Left,March,Premaxilla,8
PC3846,PI,43,990,M,6,9,NA,1.7665138,0.296609108,Left,March,Premaxilla,8
PC3847,PI,36.7,655,M,5,8,1.6099149,1.5849015,0.123313747,Left,March,Premaxilla,6
PC3848,PI,41.2,1001,M,6,9,1.8546751,1.7885364,0.28820758,Left,March,Premaxilla,7
PC3849,LB,33.8,362,F,7.2,7,1.4153292,1.5337752,0.033599962,Left,March,Premaxilla,8
PC3851,PL,22.3,130,M,5,9,1.0687775,1.0937171,-0.510273636,Left,March,Premaxilla,8
PC3855,PL,19.4,74,M,4,5,0.8422651,0.8475624,-0.824705533,Left,March,Premaxilla,7
PC3859,PL,14.8,36,M,4,5,0.5639932,0.5783102,-0.980015057,Left,March,Premaxilla,8
PC3863,PL,14,33,M,4,4,0.5710018,0.5643297,-1.045710316,Left,March,Premaxilla,7
PC3864,PI,45,1078,M,6,9,2.0029992,1.8850439,0.414055703,Left,March,Premaxilla,8
PC3865,PI,24.5,162,M,6,7,1.1564078,1.1188713,-0.413937577,Left,March,Premaxilla,8
PC3867,LB,24.5,145,F,7.2,NA,0.9464805,1.0379227,-0.379390371,Left,March,Premaxilla,7
PC3868,LB,34.2,430,F,7.2,6,1.038272,1.0363248,-0.444461286,Left,March,Premaxilla,7
PC3870,PL,20.5,81,F,5,7,0.9242483,0.8542629,-0.725948756,Left,March,Premaxilla,7
PC3873,PL,18.5,65,M,4,5,0.8320848,0.8136642,-0.880453934,Left,March,Premaxilla,6
PC3875,PL,21,103,M,4,5,0.9819967,0.9586296,-0.568431211,Left,March,Premaxilla,8
PC3876,PL,18.8,74,F,5,5,0.7322076,0.7692542,-0.86281665,Left,March,Premaxilla,7
PC3885,PL,19.1,72,M,6,5,0.8210114,0.8528283,-0.774791158,Left,March,Premaxilla,6
PC3896,PI,32.8,420,M,6,7,1.5252606,1.5156805,-0.057643464,Left,March,Premaxilla,8
PC3898,PI,45.6,1246,M,6,10,2.025862,2.02753,0.637697336,Left,March,Premaxilla,9
PC3899,LB,48.7,1420,F,6,9,1.6971693,1.7703241,0.465863757,Left,March,Premaxilla,10
PC3900,PI,42.3,1091,F,5,8,1.6523943,1.6069573,0.12783555,Left,March,Premaxilla,7
PC3901,PI,32.6,396,M,6,8,1.4216041,1.4128628,0.004037116,Left,March,Premaxilla,7
PC3902,PI,57.3,2894,M,5,10,2.1712059,2.1100131,0.71242774,Left,March,Premaxilla,7
PC3903,SB,17,56.35,F,5,5,0.6000235,0.6346327,-0.774381933,Left,March,Premaxilla,NA
PC3904,SB,12.9,28.22,F,5,4,0.4150921,0.4516642,-1.003410065,Left,March,Premaxilla,8
PC3905,SB,14.9,30.98,F,2,5,0.6152143,0.6168322,-0.777672664,Left,March,Premaxilla,8
PC3906,SB,13.7,28,F,2,7,0.5430349,0.5517737,-0.912239832,Left,March,Premaxilla,8
PC3907,SB,15,33.2,F,2,5,0.5394382,0.542951,-0.904789606,Left,March,Premaxilla,8
PC3908,SB,15.2,35.16,F,2,6,0.6217177,0.6542346,-0.877749849,Left,March,Premaxilla,6
PC3909,SB,13.5,22.81,M,5,4,0.5015971,0.5668606,-0.860448789,Left,March,Premaxilla,7
PC3910,SB,13,24.5,M,4,6,0.5085693,0.6118178,-0.853142035,Left,March,Premaxilla,7
PC3911,SB,14.2,27.55,F,7/2,4,0.4846234,0.5699031,-0.974304755,Left,March,Premaxilla,NA
PC3912,SB,16.2,41.6,F,2,7,0.6862319,0.7224972,-0.705606857,Left,March,Premaxilla,8
PC3913,SB,12.9,24.26,M,6,4,0.473748,0.5436717,-0.938199131,Left,March,Premaxilla,6
PC3914,SB,15.9,45.37,F,5,NA,0.6782429,0.703114,-0.7808484,Left,March,Premaxilla,8
PC3915,SB,13.7,26.47,M,6,5,0.5445751,0.6255865,-0.875101655,Left,March,Premaxilla,7
PC3916,SB,13.9,27.19,M,6,4,0.4695412,0.5047694,-0.972828179,Left,March,Premaxilla,4
PC3917,SB,14.7,35.24,M,6,4,0.5828725,0.6151123,-0.861368739,Left,March,Premaxilla,8
PC3918,SB,14.8,35.5,M,5/6,5,0.5853096,0.6437018,-0.798660967,Left,March,Premaxilla,8
PC3919,SB,14.5,31.49,F,7/2,5,0.5350201,0.6159936,-0.85093237,Left,March,Premaxilla,6
PC3920,SB,15.8,40.13,F,6,7,0.577064,0.6326842,-0.732467664,Left,March,Premaxilla,9
PC3921,SB,11.2,16,F,1/2,3,0.166474,0.1868123,-1.230980929,Left,March,Premaxilla,7
PC3922,SB,14.8,21.2,M,6,4,0.5711424,0.5529679,-0.840918147,Left,March,Premaxilla,7
PC3923,SB,13.9,27.7,M,6,4,0.5995857,0.6413723,-0.837887336,Left,March,Premaxilla,6
PC3924,SB,13.6,26.44,M,6,6,0.4352847,0.5046917,-0.997121018,Left,March,Premaxilla,8
PC3925,SB,14.8,31.05,F,7/2,5,0.4724983,0.4958832,-0.9025594,Left,March,Premaxilla,8
PC3926,SB,13.7,25.66,M,7,5,0.5364519,0.5866406,-0.913631681,Left,March,Premaxilla,8
PC3927,SB,13.3,28.1,M,5,6,0.4263665,0.5107096,-0.950879056,Left,March,Premaxilla,5
PC3928,SB,12,18.5,F,1/2,4,0.343988,0.3711457,-1.060488942,Left,March,Premaxilla,7
PC3929,SB,13.3,26.92,M,5,5,0.4993513,0.5551984,-0.857250736,Left,March,Premaxilla,8
PC3930,SB,13.28,27.2,F,7/2,4,0.4890359,0.5175446,-0.968886261,Left,March,Premaxilla,NA
PC3931,SB,11.8,16.33,F,2,5,0.302511,0.3344535,-1.059804303,Left,March,Premaxilla,6
PC3932,SB,11.5,15.13,M,5,5,0.2926577,0.3003698,-1.123799011,Left,March,Premaxilla,8
PC3933,SB,10.8,13.32,M,6,NA,0.3582864,0.3872391,-1.153053901,Left,March,Premaxilla,6
PC3934,SB,11.1,14.32,M,5,4,0.1952916,0.2181833,-1.183775094,Left,March,Premaxilla,7
PC3935,SB,10.4,11.87,M,1/2,4,0.1359213,0.1303157,-1.272472238,Left,March,Premaxilla,7
PC4200,PL,12.3,22.18,M,6,5,0.4072205,0.4566677,-1.185360757,Left,March,Premaxilla,7
PC4201,PL,14,29.18,M,4,5,0.5865523,0.636036,-1.076760449,Left,March,Premaxilla,7
PC4202,PL,13.7,31.74,M,5,5,0.5022135,0.5689762,-1.048678246,Left,March,Premaxilla,8
PC4203,PL,15,38.61,M,7,5,0.6118862,0.7029269,-1.172480586,Left,March,Premaxilla,7
PC4204,PL,13.4,26.01,M,5,5,0.502597,0.5801471,-1.02897568,Left,March,Premaxilla,6
PC4205,PL,13.6,29.49,M,4,4,0.5378583,0.5518292,-1.045443037,Left,March,Premaxilla,8
PC4206,PL,13.3,25.06,M,6,4,0.4682351,0.4802286,-1.099458193,Left,March,Premaxilla,8
PC4207,PL,13.6,29.32,M,6,4,0.5604644,0.5615581,-1.151141189,Left,March,Premaxilla,NA
PC4208,PL,14.7,37.35,M,6,4,0.6601469,0.6539983,-0.971904167,Left,March,Premaxilla,8
PC4209,PL,14,30.39,M,6,NA,0.5430616,0.4873203,-1.109427483,Left,March,Premaxilla,6
PC4210,PL,17,52.56,M,6,5,0.6710905,0.729533,-0.954332778,Left,March,Premaxilla,NA
PC4211,PL,15.6,39.25,M,5,4,0.6388534,0.5924699,-0.952107117,Left,March,Premaxilla,8
PC4212,PL,13.4,25.34,M,5,5,0.5232894,0.5594861,-1.153639724,Left,March,Premaxilla,7
PC4213,PL,14.4,33.98,M,6,4,0.5674114,0.5186075,-1.066685327,Left,March,Premaxilla,7
PC4214,PL,12,20.83,M,6,5,0.4108039,0.4061405,-1.135128076,Left,March,Premaxilla,7
PC4215,PL,17,51.2,M,6,5,0.7897646,0.7808549,-0.75804432,Left,March,Premaxilla,6
PC4216,PL,16.1,48.79,M,6,4,0.7110148,0.7072824,-0.996963833,Left,March,Premaxilla,6
PC4217,PL,15.2,42.11,M,5,5,0.6974301,0.6077942,-1.050330567,Left,March,Premaxilla,6
